Product,Short Description
applesauce biscuit,Wholesome whole wheat dog biscuit with the irresistible twist of unsweetened applesauce.
peanut_butter biscuit,Introducing our mouthwatering whole wheat dog biscuit infused with natural peanut butter. Loved by most canines
pumpkin biscuit,Introducing our delectable whole wheat dog biscuit infused with pure pumpkin. A nutritious canine delight!
applesauce trainingTreat,A light little treat with a touch of applesauce. Perfect for those training sessions!
peanut_butter trainingTreat,A light little treat with a touch of peanut butter. Perfect for those training sessions!
pumpkin trainingTreat,A light little treat with a touch of pumpkin. Perfect for those training sessions!
,
endOfSheet,
